Fecha,Fecha de Compra,Descripción,Importe
30 Apr 2025,30 Apr 2025,BURNINGMAN* BURNING MA  SAN FRANCISCO,33731.13
30 Apr 2025,01 May 2025,DELIRIO                 MEXICO,495.00
30 Apr 2025,30 Apr 2025,"GITHUB, INC.            SAN FRANCISCO",281.94
30 Apr 2025,01 May 2025,MERCADOPAGO*GONZALITOS  Cuauht?moc,343.75
29 Apr 2025,30 Apr 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,179.10
29 Apr 2025,30 Apr 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,373.53
29 Apr 2025,30 Apr 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,477.53
29 Apr 2025,30 Apr 2025,ATARANTADOS             CIUDAD DE MEX,339.90
29 Apr 2025,01 May 2025,GOOGLE *TINDER          G.CO/HELPPAY#,164.00
29 Apr 2025,01 May 2025,MERCADOPAGO*TEMUCOM     CDMX,658.22
28 Apr 2025,28 Apr 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,95.00
28 Apr 2025,28 Apr 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,609.42
28 Apr 2025,29 Apr 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,623.89
28 Apr 2025,29 Apr 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,669.00
28 Apr 2025,29 Apr 2025,CASAS DE COMIDA DEGU S  CIUDAD DE MEX,732.55
28 Apr 2025,29 Apr 2025,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,402.01
27 Apr 2025,28 Apr 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,565.00
27 Apr 2025,28 Apr 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,795.00
27 Apr 2025,28 Apr 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,839.40
27 Apr 2025,27 Apr 2025,AUDIBLE*PI9U817M3       AMZN.COM/BILL,300.13
27 Apr 2025,27 Apr 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,1196.30
27 Apr 2025,28 Apr 2025,REST MONSIEUR CROQUE    CIUDAD DE MEX,908.50
27 Apr 2025,27 Apr 2025,UBER TRIP               HTTPS://HELP.UB,74.91
27 Apr 2025,27 Apr 2025,UBER TRIP               HTTPS://HELP.UB,174.95
26 Apr 2025,26 Apr 2025,AMAZON MX*AD FREE FOR P MEXICO CITY,50.00
26 Apr 2025,27 Apr 2025,BILLPOCKET*PIAZZA PASTI CUAUHTEMOC,2300.00
26 Apr 2025,27 Apr 2025,MERCADOPAGO*PSYCODELIA  Tijuana,100.00
26 Apr 2025,27 Apr 2025,REST GIGI DELICATESSEN  CIUDAD DE MEX,690.00
25 Apr 2025,26 Apr 2025,BAR FELIX               MEXICO,782.00
25 Apr 2025,25 Apr 2025,IWANTMYNAME IWANTMYNAME AUCKLAND,1860.09
24 Apr 2025,24 Apr 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,639.00
24 Apr 2025,25 Apr 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,1780.01
24 Apr 2025,25 Apr 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,1799.98
24 Apr 2025,25 Apr 2025,AMAZON MX*AMAZON RETAIL MEXICO CITY,20999.00
24 Apr 2025,24 Apr 2025,ANTHROPIC               SAN FRANCISCO,502.77
24 Apr 2025,24 Apr 2025,APPLE.COM/BILL          CUPERTINO,476.00
24 Apr 2025,25 Apr 2025,BILLPOCKET*CAFE V 8DF0A CUAUHTEMOC,2400.00
24 Apr 2025,25 Apr 2025,DELIRIO                 MEXICO,1505.60
24 Apr 2025,25 Apr 2025,GOOGLE                  MOUNTAIN VIEW,150.00
24 Apr 2025,25 Apr 2025,REST OJO ROJO DINNER    CIUDAD DE MEX,330.00
23 Apr 2025,23 Apr 2025,AEROMEXICO 8697744      NUEVO PORTAL,4486.12
23 Apr 2025,23 Apr 2025,AMAZON MX MSI MKT*AMAZO MEXICO CITY,42.45
23 Apr 2025,23 Apr 2025,AMAZON MX MSI MKT*AMAZO MEXICO CITY,450.69
23 Apr 2025,23 Apr 2025,AMAZON MX MSI MKT*AMAZO MEXICO CITY,569.14
23 Apr 2025,23 Apr 2025,AMAZON MX MSI MKT*AMAZO MEXICO CITY,1021.50
23 Apr 2025,23 Apr 2025,AMAZON MX MSI RETAIL*AM MEXICO CITY,966.59
23 Apr 2025,23 Apr 2025,AMAZON MX MSI RETAIL*AM MEXICO CITY,1091.30
23 Apr 2025,23 Apr 2025,AMAZON MX MSI RETAIL*AM MEXICO CITY,1666.34
23 Apr 2025,23 Apr 2025,APPLE.COM/BILL          CUPERTINO,17.00
23 Apr 2025,23 Apr 2025,APPLE.COM/BILL          CUPERTINO,129.00
23 Apr 2025,24 Apr 2025,GOOGLE *YOUTUBEPREMIUM  G.CO/HELPPAY#,139.00
23 Apr 2025,23 Apr 2025,GRACIAS POR SU PAGO EN LINEA,-50000.00
23 Apr 2025,23 Apr 2025,GRACIAS POR SU PAGO EN LINEA,-49900.00
23 Apr 2025,23 Apr 2025,GRACIAS POR SU PAGO EN LINEA,-35825.49
23 Apr 2025,24 Apr 2025,MERCADOPAGO*GONZALITOS  Cuauht?moc,339.90
23 Apr 2025,24 Apr 2025,PAYU-GOOGLE CLOUD 10166 CIUDAD DE MEXIC,200.00
22 Apr 2025,23 Apr 2025,ANTHROPIC               SAN FRANCISCO,502.42
22 Apr 2025,22 Apr 2025,CABLE Y COMU MORELIA SA CIUDAD DE MEXIC,719.38
22 Apr 2025,23 Apr 2025,EL DIEZ ROMA            MEXICO,599.50
22 Apr 2025,24 Apr 2025,GOOGLE *TINDER          G.CO/HELPPAY#,164.00
22 Apr 2025,23 Apr 2025,WWW.MUBI.COM            NEW YORK,179.00
21 Apr 2025,22 Apr 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,523.72
21 Apr 2025,21 Apr 2025,AMAZON MX*AMAZON RETAIL MEXICO CITY,2643.62
21 Apr 2025,21 Apr 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,512.70
21 Apr 2025,21 Apr 2025,SPOTIFY MX              MEXICO,129.00
21 Apr 2025,21 Apr 2025,TAQUERIA ALVARO OBREGO  CIUDAD DE MEX,289.80
20 Apr 2025,20 Apr 2025,FACEBK *LNNFJL4S32      DUBLIN,550.97
20 Apr 2025,21 Apr 2025,HOTEL MARQUIS REFORMA   MEXICO,1760.00
20 Apr 2025,21 Apr 2025,MERCADOPAGO*LOLO        Cuauht?moc,360.00
20 Apr 2025,21 Apr 2025,NIKE ESW MX             CIUDAD DE MEXIC,1329.00
20 Apr 2025,20 Apr 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,799.70
20 Apr 2025,20 Apr 2025,UBER TRIP               HTTPS://HELP.UB,82.01
20 Apr 2025,20 Apr 2025,UBER TRIP               HTTPS://HELP.UB,99.18
19 Apr 2025,19 Apr 2025,HELADOS CARMELA PACHUC  CIUDAD DE MEX,370.00
19 Apr 2025,19 Apr 2025,NETFLIX.COM             NETFLIX.COM,512.61
19 Apr 2025,19 Apr 2025,REST EL JAMIL           CIUDAD DE MEX,1353.00
18 Apr 2025,18 Apr 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,359.00
18 Apr 2025,18 Apr 2025,AMAZON MX*AMAZON RETAIL MEXICO CITY,899.00
18 Apr 2025,19 Apr 2025,EL PALACIO DE HIERRO DU MEXICO,1095.00
18 Apr 2025,19 Apr 2025,NESPRESSO MEXICO SA DE  MEXICO,360.00
18 Apr 2025,19 Apr 2025,PALACIODEHIERRO DURANGO MEXICO,25998.70
18 Apr 2025,19 Apr 2025,PALACIODEHIERRO LE BIST MEXICO,1189.10
18 Apr 2025,19 Apr 2025,REST DR PIZZA CONDESA 0 CIUDAD DE MEX,1247.75
18 Apr 2025,18 Apr 2025,TELEFONOS DE MEXICO SAB CIUDAD DE MEXIC,1149.00
17 Apr 2025,18 Apr 2025,ALFIL ARABE RESTAURANT  CIUDAD DE MEX,1995.25
17 Apr 2025,17 Apr 2025,AMAZON MX*AMAZON RETAIL MEXICO CITY,279.00
17 Apr 2025,17 Apr 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,50.00
17 Apr 2025,17 Apr 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,635.70
17 Apr 2025,17 Apr 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,923.70
17 Apr 2025,17 Apr 2025,ROTOPLAS SERVICIO       CDMX,369.00
15 Apr 2025,17 Apr 2025,GOOGLE *TINDER          G.CO/HELPPAY#,164.00
14 Apr 2025,15 Apr 2025,ALMANEGRACAFE ROMA      MEXICO,85.80
14 Apr 2025,15 Apr 2025,ENO ROMA                MEXICO,456.50
13 Apr 2025,14 Apr 2025,AMAZON MX*AMAZON RETAIL MEXICO CITY,891.08
13 Apr 2025,13 Apr 2025,APPLE.COM/BILL          CUPERTINO,199.00
13 Apr 2025,13 Apr 2025,FELIXES FELICES AV MEXI MEXICO,851.00
13 Apr 2025,14 Apr 2025,FS *PUT.IO              877-327-8914,208.64
13 Apr 2025,13 Apr 2025,THE REST IS HISTORY     HAYWARDS HEATH,164.78
12 Apr 2025,12 Apr 2025,1PASSWORD               TORONTO,999.98
12 Apr 2025,13 Apr 2025,LA AMERICANA            CIUDAD DE MEX,977.50
12 Apr 2025,12 Apr 2025,OPENPAY*RAPPI           CIUDAD DE MEXIC,1533.70
12 Apr 2025,12 Apr 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,30.00
12 Apr 2025,12 Apr 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,30.00
12 Apr 2025,12 Apr 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,928.70
11 Apr 2025,11 Apr 2025,ANTHROPIC               SAN FRANCISCO,522.13
11 Apr 2025,12 Apr 2025,BUNA CAFE RICO SAPI     CIUDAD DE MEX,395.00
11 Apr 2025,12 Apr 2025,GONZALITOS TAQUERIA S   CIUDAD DE MEX,341.00
10 Apr 2025,11 Apr 2025,ANTHROPIC               SAN FRANCISCO,526.13
10 Apr 2025,11 Apr 2025,REST OJO ROJO DINNER    CIUDAD DE MEX,330.00
09 Apr 2025,10 Apr 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,565.00
09 Apr 2025,10 Apr 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,2580.00
09 Apr 2025,09 Apr 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,318.70
08 Apr 2025,09 Apr 2025,ALMANEGRACAFE ROMA      MEXICO,74.80
08 Apr 2025,10 Apr 2025,GOOGLE *TINDER          G.CO/HELPPAY#,164.00
08 Apr 2025,08 Apr 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,1680.00
07 Apr 2025,08 Apr 2025,ATARANTADOS             CIUDAD DE MEX,350.90
07 Apr 2025,08 Apr 2025,GOOGLE *GOOGLE ONE      G.CO/HELPPAY#,39.00
07 Apr 2025,07 Apr 2025,UBER EATS               HTTPS://HELP.UB,368.00
07 Apr 2025,07 Apr 2025,WHITEPAPER.MX           SAN PEDRO GARZA,159.00
06 Apr 2025,06 Apr 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,585.00
06 Apr 2025,07 Apr 2025,BUNA CAFE RICO SAPI     CIUDAD DE MEX,45.00
06 Apr 2025,07 Apr 2025,GIGI                    MEXICO,822.25
06 Apr 2025,06 Apr 2025,UBER TRIP               HTTPS://HELP.UB,72.26
05 Apr 2025,06 Apr 2025,BUNA CAFE RICO SAPI     CIUDAD DE MEX,45.00
05 Apr 2025,06 Apr 2025,NETPAY*THE LAMB 2 TABAS Ciudad De Mexic,3645.50
05 Apr 2025,05 Apr 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,252.70
05 Apr 2025,05 Apr 2025,RAPPI*RAPPI MEXICO      MEXICO CITY,643.90
04 Apr 2025,04 Apr 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,619.00
04 Apr 2025,07 Apr 2025,CGO AUT TELCEL REGION 8 MERIDA,563.49
04 Apr 2025,04 Apr 2025,MIDJOURNEY INC.         SOUTH SAN FRANC,2344.63
04 Apr 2025,05 Apr 2025,OPENAI *CHATGPT SUBSCR  SAN FRANCISCO,4210.90
04 Apr 2025,04 Apr 2025,PAYU-GOOGLE CLOUD 10166 CIUDAD DE MEXIC,-144.00
04 Apr 2025,05 Apr 2025,REST OJO ROJO DINNER    CIUDAD DE MEX,330.00
03 Apr 2025,03 Apr 2025,AMAZON MX*PRIME VIDEO C MEXICO CITY,129.00
03 Apr 2025,04 Apr 2025,ENO ROMA                MEXICO,462.00
03 Apr 2025,04 Apr 2025,F45 TRAINING CONDESA    CIUDAD DE MEX,170.00
03 Apr 2025,03 Apr 2025,GRACIAS POR SU PAGO EN LINEA,-50000.00
03 Apr 2025,03 Apr 2025,GRACIAS POR SU PAGO EN LINEA,-49900.00
03 Apr 2025,03 Apr 2025,GRACIAS POR SU PAGO EN LINEA,-49800.00
03 Apr 2025,03 Apr 2025,GRACIAS POR SU PAGO EN LINEA,-17965.70
03 Apr 2025,03 Apr 2025,PAYU-GOOGLE CLOUD 10166 CIUDAD DE MEXIC,144.00
02 Apr 2025,03 Apr 2025,AMAZON MX*AMAZON RETAIL MEXICO CITY,181.67
02 Apr 2025,03 Apr 2025,AMAZON MX*AMAZON RETAIL MEXICO CITY,264.90
02 Apr 2025,02 Apr 2025,BILLPOCKET*CAFE V 8DF0A CUAUHTEMOC,1700.00
02 Apr 2025,04 Apr 2025,GONZALITOS TAQUERIA S   CIUDAD DE MEX,361.10
02 Apr 2025,02 Apr 2025,IWANTMYNAME IWANTMYNAME AUCKLAND,1933.82
02 Apr 2025,03 Apr 2025,X CORP. PAID FEATURES   BASTROP,168.06
01 Apr 2025,02 Apr 2025,ATARANTADOS             CIUDAD DE MEX,322.85
01 Apr 2025,03 Apr 2025,GOOGLE *TINDER          G.CO/HELPPAY#,164.00
01 Apr 2025,01 Apr 2025,OPENPAY*STARLINK        CIUDAD DE MEXIC,1100.00
01 Apr 2025,01 Apr 2025,PAYU-GOOGLE CLOUD 10166 CIUDAD DE MEXIC,144.00
