Date,Description,Category,Amount_MXN,Amount_USD,Source_File,Status
2025-10-17,AEROMEXICO 8697744 (1/12),Flights,8442.84,474.32,2025-10.csv,
2025-10-17,AIRBNB * HMT4H23ABN,Accommodation,98264.49,5520.48,2025-10.csv,
2025-10-23,AEROMEXICO 8697744 (2/12),Flights,8442.84,474.32,2025-11.csv,
2025-10-26,PAYU-UBER 828987,Transportation,475.62,26.72,2025-11.csv,
2025-10-26,=DLORAPPI,Food,196.28,11.03,2025-11.csv,
2025-10-27,=DLORAPPI (refund),Refund,-96.69,-5.43,2025-11.csv,
2025-10-27,=DLORAPPI (refund),Refund,-3.77,-0.21,2025-11.csv,
2025-10-27,=DLORAPPI,Food,241.55,13.57,2025-11.csv,
2025-10-27,ALCHEMY,Shopping,52.12,2.93,2025-11.csv,
2025-10-27,FUEGOS DE PALERMO,Food,684.60,38.46,2025-11.csv,
2025-10-27,MERPAGO*CHEBITUTE,Food,57.22,3.21,2025-11.csv,
2025-10-27,MERPAGO*GOURMETHOUSE,Food,29.26,1.64,2025-11.csv,
2025-10-27,MERPAGO*GOURMETHOUSE,Food,769.77,43.25,2025-11.csv,
2025-10-27,MERPAGO*SUPERLOSARCOS,Food,141.26,7.94,2025-11.csv,
2025-10-28,FLORERIA ATLANTICO,Food,1409.31,79.18,2025-11.csv,
2025-10-28,MERPAGO*CHEBITUTE,Food,57.30,3.22,2025-11.csv,
2025-10-28,MERPAGO*NORIAMENABAR,Shopping,413.60,23.24,2025-11.csv,
2025-10-28,MERPAGO*REALROCK,Shopping,58.63,3.29,2025-11.csv,
2025-10-28,URBAN SIX,Shopping,1233.87,69.32,2025-11.csv,
2025-10-29,LA BOQUERIA,Food,616.08,34.61,2025-11.csv,
2025-10-29,MERPAGO*BADIAN,Food,913.07,51.30,2025-11.csv,
2025-10-29,MERPAGO*PEGGYSCAFE,Food,61.63,3.46,2025-11.csv,
2025-10-29,REFUND USD TOURIST BCRA,Refund,-1.33,-0.07,2025-11.csv,
2025-10-29,REFUND USD TOURIST BCRA,Refund,-1.15,-0.06,2025-11.csv,
2025-10-29,REFUND USD TOURIST BCRA,Refund,-0.75,-0.04,2025-11.csv,
2025-10-30,BIRKIN,Shopping,481.62,27.06,2025-11.csv,
2025-10-30,LA DORITA,Food,537.12,30.18,2025-11.csv,
2025-10-30,POP HOME ELECTRO,Shopping,59.60,3.35,2025-11.csv,
2025-10-30,POP HOME ELECTRO,Shopping,132.49,7.44,2025-11.csv,
2025-10-31,AEROMEXICO (Karen),Flights,79557.28,4470.63,2025-11.csv,
2025-10-31,ALMAKETO BA,Food,266.08,14.95,2025-11.csv,
2025-10-31,LA DORITA,Food,992.97,55.79,2025-11.csv,
2025-10-31,MERPAGO*KAFFE,Food,98.61,5.54,2025-11.csv,
2025-10-31,MERPAGO*MARGHERITA,Food,114.25,6.42,2025-11.csv,
2025-10-31,MERPAGO*REALROCK,Shopping,68.28,3.84,2025-11.csv,
2025-10-31,MERPAGO*SUPERMERCADO,Food,122.83,6.90,2025-11.csv,
2025-11-01,MERPAGO*CAMPOBRAVO,Food,609.41,34.24,2025-11.csv,
2025-11-01,MERPAGO*CINNA,Food,53.21,2.99,2025-11.csv,
2025-11-01,MERPAGO*DULCECHARLOTTE,Food,58.55,3.29,2025-11.csv,
2025-11-01,MERPAGO*LACANITA,Food,1257.16,70.63,2025-11.csv,
2025-11-01,MERPAGO*ONTAP,Food,243.38,13.67,2025-11.csv,
2025-11-02,MERPAGO*CDM,Shopping,409.71,23.02,2025-11.csv,
2025-11-02,MERPAGO*DULCECHARLOTTE,Food,75.91,4.26,2025-11.csv,
2025-11-02,POP HOME ELECTRO,Shopping,65.50,3.68,2025-11.csv,
2025-11-03,MERPAGO*BADIAN,Food,900.34,50.58,2025-11.csv,
2025-11-03,MERPAGO*KAFFE,Food,67.57,3.80,2025-11.csv,
2025-11-03,MERPAGO*LAGRANTIENDA,Shopping,196.28,11.03,2025-11.csv,
2025-11-03,MERPAGO*REALROCK,Shopping,217.15,12.20,2025-11.csv,
2025-11-04,ADN NUTRITION,Shopping,937.82,52.69,2025-11.csv,
2025-11-04,FUEGOS DE PALERMO,Food,524.20,29.45,2025-11.csv,
2025-11-04,MERPAGO*1440KIOSCOS,Food,174.90,9.83,2025-11.csv,
2025-11-04,MERPAGO*KAFFE,Food,67.47,3.79,2025-11.csv,
2025-11-04,MERPAGO*REALROCK,Shopping,254.42,14.29,2025-11.csv,
2025-11-04,PAYU-UBER 828987,Transportation,70.00,3.93,2025-11.csv,
2025-11-04,PAYU-UBER 828987,Transportation,75.16,4.22,2025-11.csv,
2025-11-05,MERPAGO*KAFFE,Food,66.83,3.75,2025-11.csv,
2025-11-06,MERPAGO*LEMORNE,Shopping,123.36,6.93,2025-11.csv,
2025-11-06,RSI*GRANMAHATMA,Shopping,1155.74,64.93,2025-11.csv,
2025-11-06,UBER ONE MEMBERSHIP,Transportation,70.00,3.93,2025-11.csv,
2025-11-07,FABRIC LE PAIN HAVANNA (Ezeiza),Food,98.41,5.53,2025-11.csv,
2025-11-07,FABRIC LE PAIN HAVANNA (Ezeiza),Food,422.74,23.75,2025-11.csv,
2025-11-07,LA DORITA,Food,603.80,33.92,2025-11.csv,
2025-11-07,PAYU-UBER 828987,Transportation,490.56,27.56,2025-11.csv,
2025-11-07,PAYU-UBER 828987,Transportation,796.83,44.77,2025-11.csv,
2025-11-08,CAPISANO,Food,1826.92,102.64,2025-11.csv,
2025-11-08,DON JULIO,Food,8098.34,455.00,2025-11.csv,
2025-11-08,ETERNA CADENCIA,Shopping,378.34,21.26,2025-11.csv,
2025-11-08,ETERNA CADENCIA,Shopping,1688.65,94.89,2025-11.csv,
2025-11-08,HAVANNA MACRO,Food,22.23,1.25,2025-11.csv,
2025-11-08,LA FAROLERA,Food,2827.84,158.87,2025-11.csv,
2025-11-08,MERPAGO*23CREACIONES5,Shopping,1128.76,63.41,2025-11.csv,
2025-11-08,MERPAGO*AURACAFE,Food,153.51,8.63,2025-11.csv,
2025-11-08,MERPAGO*BONDI,Shopping,881.95,49.55,2025-11.csv,
2025-11-08,PAYU-UBER 828987,Transportation,69.13,3.88,2025-11.csv,
2025-11-08,PAYU-UBER 828987,Transportation,95.00,5.34,2025-11.csv,
2025-11-08,PAYU-UBER 828987,Transportation,190.21,10.69,2025-11.csv,
2025-11-08,PERSONAL FLOW,Services,393.86,22.13,2025-11.csv,
2025-11-08,VALPAL,Shopping,600.28,33.72,2025-11.csv,
2025-11-09,BORGES 1975 SRL,Food,1473.13,82.76,2025-11.csv,
2025-11-09,CAUCE RESTAURANT,Food,2085.88,117.19,2025-11.csv,
2025-11-09,MERPAGO*AURACAFE,Food,157.51,8.85,2025-11.csv,
2025-11-09,MOLDE,Food,1062.49,59.69,2025-11.csv,
2025-11-09,PAYU-UBER 828987,Transportation,182.26,10.24,2025-11.csv,
2025-11-09,PAYU-UBER 828987,Transportation,286.35,16.09,2025-11.csv,
2025-11-09,RAPANUI,Food,204.81,11.51,2025-11.csv,
2025-11-10,EL PREFERIDO,Food,5466.79,307.12,2025-11.csv,
2025-11-11,PASTASOLE,Food,823.05,46.24,2025-11.csv,
2025-11-12,BACKROOM,Shopping,677.18,38.04,2025-11.csv,
2025-11-12,COBRO SUR,Services,650.01,36.52,2025-11.csv,
2025-11-12,MERPAGO*SCOTCHANDSODA,Shopping,543.32,30.52,2025-11.csv,
2025-11-12,PAYU-UBER 828987,Transportation,56.27,3.16,2025-11.csv,
2025-11-13,CONROSAR SRL,Food,369.65,20.77,2025-11.csv,
2025-11-13,MASSEY FAMILIA,Food,3357.85,188.64,2025-11.csv,
2025-11-13,PAYU-UBER 828987,Transportation,72.08,4.05,2025-11.csv,
2025-11-14,MAS VISION,Shopping,3598.95,202.19,2025-11.csv,
2025-11-14,PAYU-UBER 828987,Transportation,25.02,1.41,2025-11.csv,
2025-11-14,PAYU-UBER 828987,Transportation,86.39,4.85,2025-11.csv,
2025-11-14,PAYU-UBER 828987,Transportation,86.76,4.87,2025-11.csv,
2025-11-14,PAYU-UBER 828987,Transportation,87.52,4.92,2025-11.csv,
2025-11-14,PAYU-UBER 828987,Transportation,154.70,8.69,2025-11.csv,
2025-11-14,PAYU-UBER 828987,Transportation,213.43,11.99,2025-11.csv,
2025-11-15,FAUSTO,Shopping,467.51,26.27,2025-11.csv,
2025-11-15,FAUSTO,Shopping,3607.04,202.64,2025-11.csv,
2025-11-15,HAVANNA MACRO,Food,1229.01,69.04,2025-11.csv,
2025-11-15,MERPAGO*VORTICE,Shopping,999.20,56.14,2025-11.csv,
2025-11-15,PAYU-UBER 828987,Transportation,211.17,11.86,2025-11.csv,
2025-11-15,POP HOME ELECTRO,Shopping,53.77,3.02,2025-11.csv,
2025-11-15,QUORUM,Shopping,431.56,24.24,2025-11.csv,
2025-11-15,QUORUM,Shopping,7196.58,404.30,2025-11.csv,
2025-11-15,RSI*GRANMAHATMA,Shopping,1603.92,90.11,2025-11.csv,
2025-11-16,PAYU-UBER 828987,Transportation,87.70,4.93,2025-11.csv,
2025-11-16,PAYU-UBER 828987,Transportation,100.69,5.66,2025-11.csv,
2025-11-17,MERPAGO*BYCGASTRONOMI,Food,323.34,18.17,2025-11.csv,
2025-11-17,OPTICA URIBURU,Shopping,4163.22,233.89,2025-11.csv,
2025-11-17,PAYU-UBER 828987,Transportation,98.70,5.55,2025-11.csv,
2025-11-17,PAYU-UBER 828987,Transportation,104.53,5.87,2025-11.csv,
2025-11-17,PAYU-UBER 828987,Transportation,119.82,6.73,2025-11.csv,
2025-11-18,PAYU-UBER 828987,Transportation,91.35,5.13,2025-11.csv,
2025-11-18,PAYU-UBER 828987,Transportation,92.67,5.21,2025-11.csv,
2025-11-18,PAYU-UBER 828987,Transportation,177.43,9.97,2025-11.csv,
2025-11-19,PAYU-UBER 828987,Transportation,112.64,6.33,2025-11.csv,
2025-11-19,PAYU-UBER 828987,Transportation,145.70,8.19,2025-11.csv,
2025-11-19,PAYU-UBER 828987,Transportation,173.04,9.72,2025-11.csv,
2025-11-20,MERPAGO*LEBLE,Shopping,156.26,8.78,2025-11.csv,
2025-11-20,PAYU-UBER 828987,Transportation,72.18,4.06,2025-11.csv,
2025-11-20,PAYU-UBER 828987,Transportation,113.02,6.35,2025-11.csv,
2025-11-20,PAYU-UBER 828987,Transportation,149.50,8.40,2025-11.csv,
2025-11-20,PAYU-UBER 828987,Transportation,243.91,13.70,2025-11.csv,
2025-11-21,PAYU-UBER 828987,Transportation,71.42,4.01,2025-11.csv,
2025-11-22,HAVANNA MACRO,Food,1609.14,90.40,2025-11.csv,
2025-11-22,MERPAGO*BLUECATERING,Food,616.79,34.65,2025-11.csv,
2025-11-22,MERPAGO*DULCECHARLOTTE,Food,408.60,22.96,2025-11.csv,
2025-11-22,MERPAGO*RFLIBROS,Shopping,268.22,15.07,2025-11.csv,
2025-11-22,MERPAGO*RFLIBROS,Shopping,737.41,41.43,2025-11.csv,
2025-10-29,Caversaschico-Caversas,Food,340.56,,nubank-credit-2025-11.csv,
2025-10-30,Moksha Coffee & Deli,Food,109.77,,nubank-credit-2025-11.csv,
2025-11-02,Moksha Coffee & Deli,Food,66.71,,nubank-credit-2025-11.csv,
2025-11-02,Moksha Coffee & Deli,Food,133.02,,nubank-credit-2025-11.csv,
2025-11-03,Personal Flow,Services,134.37,,nubank-credit-2025-11.csv,
2025-11-03,Caversaschico-Caversas,Food,331.55,,nubank-credit-2025-11.csv,
2025-11-03,Jf Palermo,Food,161.07,,nubank-credit-2025-11.csv,
2025-11-04,Merpago*Realrock,Food,69.80,,nubank-credit-2025-11.csv,
2025-11-07,Fruto Coffee Roasters,Food,93.10,,nubank-credit-2025-11.csv,
2025-11-07,Festival Bar,Food,375.28,,nubank-credit-2025-11.csv,
2025-11-10,Pop Home Electro,Shopping,39.56,,nubank-credit-2025-11.csv,
2025-11-10,Pop Home Electro,Shopping,26.85,,nubank-credit-2025-11.csv,
2025-11-10,Brasero Atlantico,Food,893.42,,nubank-credit-2025-11.csv,
2025-11-10,Propina*Brasero Atlant,Food,178.68,,nubank-credit-2025-11.csv,
2025-11-12,Urban Six,Entertainment,666.73,,nubank-credit-2025-11.csv,
2025-11-12,Caversaschico-Caversas,Food,145.68,,nubank-credit-2025-11.csv,
2025-11-12,Caversaschico-Caversas,Food,669.86,,nubank-credit-2025-11.csv,
2025-11-13,Pop Home Electro,Shopping,40.00,,nubank-credit-2025-11.csv,
2025-11-15,EMOVA SUBTE,Transportation,15.48,,nubank-debit-2025-11.csv,
2025-11-15,EMOVA SUBTE,Transportation,15.48,,nubank-debit-2025-11.csv,
